ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim1,programacion_trim1,programacion_acumulada_trim1,ejecutado_vigente_trim1,ejecutado_acumulado_trim1,porc_desvio_acum_trim1,causa_desvio,causa_desvio_detalle,causa_desvio_comentario,ultima_actualizacion_fecha
2023,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,4129,Orientación de Atención Ciudadana en materia de Servicios Audiovisuales,2043,Dictamen Jurídico,Suma: el total es la suma de las cantidades,240,240,240,60,60,78,78,"30,00",Otras Causas,Otras Causas,La diferencia entre lo programado y lo ejecutado se justifica debido al aumento de reclamos y denuncias recibidas ante el organismo,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,369,Oficina de Presupuesto del Congreso,42,Apoyo al Congreso Nacional en Materia Fiscal,0,Apoyo al Congreso Nacional en Materia Fiscal,Indicador,504,Cumplimiento del Plan de Trabajo Anual,1187,Porcentaje,Suma: el total es la suma de las cantidades,100,100,100,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,369,Oficina de Presupuesto del Congreso,42,Apoyo al Congreso Nacional en Materia Fiscal,0,Apoyo al Congreso Nacional en Materia Fiscal,Meta,4462,Publicación Sistemática de  Información Presupuestaria y Fiscal,2012,Informe Publicado,Suma: el total es la suma de las cantidades,60,60,60,15,15,17,17,"13,33",Otras causas,Otras causas,Pedido de informes especiales.,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Indicador,39,Proporción de Torturas y Malos Tratos en el Total de Casos Investigados,1187,Porcentaje,Suma: el total es la suma de las cantidades,"0,25","0,25","0,25",,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Indicador,40,Proporción de Expedientes Iniciados por Torturas y Malos Tratos que llegan a Instancias de Denuncia Penal,1187,Porcentaje,Suma: el total es la suma de las cantidades,50,50,50,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Meta,1882,Atención de Internos Damnificados,1354,Caso Gestionado,Suma: el total es la suma de las cantidades,70000,75000,75000,17250,17250,16213,16213,"-6,01",Otras Causas,Otras Causas,"En el trimestre continúan las dificultades en la recepción de llamadas.  Ello, sumado al hecho de ser el período de mayor número de  licencias ordinarias, provocó este desvío en menos del 6%.",Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Meta,1900,Inspección de Centros de Detención,24,Inspección,Suma: el total es la suma de las cantidades,916,1200,1200,197,197,200,200,"1,52",Otras Causas,Otras Causas,"1,52% no parece demasiado significativo.  A pesar de contar con menos personal, pudo realizarse la actividad de monitoreo de modo más eficiente y gran parte se debe a la labor de las delegaciones del Interior.",Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Meta,1900,Inspección de Centros de Detención,380,Visita,Suma: el total es la suma de las cantidades,3084,3000,3000,599,599,637,637,"6,34",Otras Causas,Otras Causas,"En este caso, del mismo modo que en las inspecciones, a pesar de contar con menos personal, pudo acudirse tal cual lo programado e incluso superarlo.  La actividad del Diagnóstico Penitenciario Federal continúa y eso hace que se incrementen las visitas a los centros de detención.",Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Meta,2041,Atención Médica a Internos,939,Interno Atendido,Suma: el total es la suma de las cantidades,4500,4500,4500,1035,1035,731,731,"-29,37",Otras Causas,Otras Causas,"En el caso de la atención médica a internos, continuamos con la falta de médicos, particularmente en el Interior, que produce este desvío de casi el 30%.  Se espera revertir en lo sucesivo.",Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,22,Justicia de Casacion,0,Justicia de Casacion,Indicador,126,Tasa de Descongestión de Expedientes,1476,Ratio,Suma: el total es la suma de las cantidades,"0,78","0,78","0,78",,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,1,Fuero Criminal y Correccional,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,90000,90000,90000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,1,Fuero Criminal y Correccional,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,7000,7000,7000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,2,Fuero Civil,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,48000,48000,48000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,2,Fuero Civil,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,15000,15000,15000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,3,Fuero Comercial,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,24000,24000,24000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,3,Fuero Comercial,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,13000,13000,13000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,4,Fuero del Trabajo,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,60000,60000,60000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,4,Fuero del Trabajo,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,30000,30000,30000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,6,Justicia Penal Oral Ordinaria,Meta,1137,Resolución de Juicios Orales,654,Causa Resuelta,Suma: el total es la suma de las cantidades,10000,10000,10000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,1,Fuero Criminal y Correccional Federal,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,15000,15000,15000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,1,Fuero Criminal y Correccional Federal,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,4000,4000,4000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,2,Fuero Civil y Comercial Federal,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,10000,10000,10000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,2,Fuero Civil y Comercial Federal,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,2000,2000,2000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,3,Fuero Contencioso Administrativo Federal,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,47000,47000,47000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,3,Fuero Contencioso Administrativo Federal,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,10000,10000,10000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,4,Fuero Federal de la Seguridad Social,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,180000,180000,180000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,4,Fuero Federal de la Seguridad Social,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,65000,65000,65000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,5,Fuero Electoral,Meta,1138,Resolución de Causas Electorales,654,Causa Resuelta,Suma: el total es la suma de las cantidades,500,500,500,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,6,Justicia Penal Oral Federal de la Ciudad Autonoma de Buenos Aires,Meta,1137,Resolución de Juicios Orales,654,Causa Resuelta,Suma: el total es la suma de las cantidades,4000,4000,4000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,7,Area Camara de la Plata,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,100000,100000,100000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,7,Area Camara de la Plata,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,5000,5000,5000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,8,Area Camara Mar del Plata,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,50000,50000,50000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,8,Area Camara Mar del Plata,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,7000,7000,7000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,9,Area Camara Bahia Blanca,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,5000,5000,5000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,9,Area Camara Bahia Blanca,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,1000,1000,1000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,10,Area Camara Mendoza,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,50000,50000,50000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,10,Area Camara Mendoza,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,5000,5000,5000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,11,Area Camara Rosario,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,60000,60000,60000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,11,Area Camara Rosario,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,8000,8000,8000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,12,Area Camara General Roca,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,35000,35000,35000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,12,Area Camara General Roca,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,3000,3000,3000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,13,Area Camara Parana,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,16000,16000,16000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,1,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,24,Justicia Federal,13,Area Camara Parana,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,3000,3000,3000,,,,,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
